,Structure,Fréquence
1019,nc prep det adj np,4
2716,adj nc v prep det adj prep nc,4
2446,nc prep det nc adj prep nc prep nc adj,4
2437,nc nc prep np prep nc,4
656,nc prep det nc adj adj prep nc np,4
2435,adj nc np nc,4
3432,v prep nc adj prep nc prep nc,4
1655,nc np prep,4
1291,nc nc adj adv adj,4
1290,nc prep nc adj adv adj,4
3322,nc adj prep det nc v prep det np,4
952,adj adj prep nc,4
2814,v nc np np,4
1824,nc adj prep det nc csu prep nc adj,4
2405,nc adj prep det nc adj prep det nc,4
1286,nc prep det nc prep det nc np,4
1651,adv adj nc,4
476,nc adj prep det adj nc adj,4
92,nc adj nc csu nc,4
1570,adj nc nc prep,4
2575,nc nc prep adj adj nc,4
1137,v prep nc prep nc adj,4
1511,nc adj prep nc prep np prep np,4
1512,nc np np v,4
1271,nc prep nc adj prep adj,4
1514,nc adj prep det nc prep np prep np,4
2574,adj adj nc nc nc,4
1135,v nc prep nc adj,4
2715,nc adj v prep det adj prep nc,4
